name,followers,popularity,genres,chart_hits
Sphera,1867.0,21,[],['il (1)']
La Vida Moderna,4793.0,1,[],['es (1)']
Lars-Erik Larsson,1838.0,16,"['early modern classical', 'swedish classical']",['no (1)']
Devano,532807.0,45,['indonesian pop'],['id (2)']
Thodoris Ferris,34452.0,44,"['greek pop', 'laiko']",['cy (1)']
Ghea Indrawari,130128.0,49,['indonesian pop'],['id (1)']
Andre Hazes,624155.0,60,"['dutch pop', 'dutch rock', 'levenslied', 'nederpop']",['nl (3)']
ACE COLLECTION,42762.0,43,"['anime', 'j-pop boy group']",['jp (1)']
Samuel Kim,255766.0,65,['anime lo-fi'],"['cz (1)', 'hu (1)', 'sk (1)']"
Trifecta,175.0,8,[],"['gr (1)', 'hu (1)', 'lt (1)', 'sk (1)']"
Cassandra,16553.0,45,[],['id (1)']
Kygo,8134874.0,80,"['edm', 'pop', 'pop dance', 'tropical house']","['us (28)', 'gb (24)', 'ar (9)', 'au (24)', 'at (35)', 'be (28)', 'bo (10)', 'br (11)', 'bg (26)', 'ca (36)', 'cl (10)', 'co (10)', 'cr (10)', 'cy (23)', 'cz (36)', 'dk (35)', 'do (10)', 'ec (10)', 'eg (4)', 'sv (10)', 'ee (36)', 'fi (37)', 'fr (21)', 'de (31)', 'gr (25)', 'gt (12)', 'hn (12)', 'hk (23)', 'hu (38)', 'is (21)', 'in (9)', 'id (21)', 'ie (31)', 'il (11)', 'it (17)', 'jp (13)', 'lv (32)', 'lt (39)', 'lu (31)', 'my (24)', 'mt (30)', 'mx (10)', 'ma (3)', 'nl (34)', 'nz (21)', 'ni (9)', 'no (64)', 'pa (13)', 'py (10)', 'pe (9)', 'ph (21)', 'pl (25)', 'pt (24)', 'ro (14)', 'sa (5)', 'sg (25)', 'sk (42)', 'za (14)', 'kr (3)', 'es (14)', 'se (46)', 'ch (44)', 'tw (31)', 'th (13)', 'tr (12)', 'ua (1)', 'ae (6)', 'uy (9)', 'vn (12)', 'ad (1)']"
Fulo El Yeyo,17689.0,36,['panamanian pop'],['pa (1)']
Attaque 77,479470.0,57,"['argentine punk', 'argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'ska argentino']",['ar (1)']
Agnes,118389.0,56,"['dance pop', 'electropop', 'europop', 'swedish electropop', 'swedish idol pop', 'swedish pop']",['se (7)']
ConfidentialMX,2122.0,26,[],"['bg (1)', 'my (1)', 'pt (1)', 'sk (1)']"
Ronnie Hussein,13568.0,28,['malaysian pop'],['my (1)']
El Villano,294637.0,45,['cumbia pop'],"['ar (5)', 'es (1)', 'uy (5)']"
BIG Naughty,175577.0,59,[],['kr (7)']
Lim Young Woong,43188.0,54,['trot'],['kr (17)']
U Sung Eun,17395.0,36,['korean pop'],['tw (1)']
Ocean Park Standoff,27933.0,48,"['la pop', 'pop rock']",['no (1)']
